service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
SUN,0,0,0,0,0,0,1,20260320,20260718
MONSAT,1,1,1,1,1,1,0,20260320,20260718
MONTHURS,1,1,1,1,0,0,0,20260320,20260718
WEEKDAY,1,1,1,1,1,0,0,20260320,20260718
FRISUN,0,0,0,0,1,1,1,20260320,20260718
PUBLICHOLIDAY,1,1,1,1,1,1,1,20260320,20260718
WEEKEND,0,0,0,0,0,1,1,20260320,20260718
ALLDAY,1,1,1,1,1,1,1,20260320,20260718
FRISAT,0,0,0,0,1,1,0,20260320,20260718
SUNTHURS,1,1,1,1,0,0,1,20260320,20260718
FRIDAY,0,0,0,0,1,0,0,20260320,20260718
MONWED,1,1,1,0,0,0,0,20260320,20260718
SATTHURS,1,1,1,1,0,1,1,20260320,20260718
THURSSUN,0,0,0,1,1,1,1,20260320,20260718
SAT,0,0,0,0,0,1,0,20260320,20260718
THURSSUNPH,0,0,0,1,1,1,1,20260320,20260718
PUBLICHOLIDAYSABAH,1,1,1,1,1,1,1,20260320,20260718
PUBLICHOLIDAYSINGAPORE,1,1,1,1,1,1,1,20260320,20260718
